The container contains 10000 shapes:
Parallelepiped: a = 18  b = 15  c = 2, Volume = 540.0, Density = 11
Parallelepiped: a = 20  b = 9  c = 7, Volume = 1260.0, Density = 17
Parallelepiped: a = 18  b = 10  c = 7, Volume = 1260.0, Density = 10
Parallelepiped: a = 15  b = 7  c = 12, Volume = 1260.0, Density = 7
Parallelepiped: a = 9  b = 7  c = 20, Volume = 1260.0, Density = 15
Parallelepiped: a = 10  b = 14  c = 9, Volume = 1260.0, Density = 18
Parallelepiped: a = 21  b = 5  c = 12, Volume = 1260.0, Density = 19
Parallelepiped: a = 20  b = 21  c = 3, Volume = 1260.0, Density = 4
Parallelepiped: a = 13  b = 14  c = 7, Volume = 1274.0, Density = 9
Parallelepiped: a = 15  b = 17  c = 5, Volume = 1275.0, Density = 12
Parallelepiped: a = 8  b = 10  c = 16, Volume = 1280.0, Density = 19
Parallelepiped: a = 8  b = 10  c = 16, Volume = 1280.0, Density = 3
Parallelepiped: a = 13  b = 11  c = 9, Volume = 1287.0, Density = 23
Parallelepiped: a = 13  b = 9  c = 11, Volume = 1287.0, Density = 14
Parallelepiped: a = 9  b = 11  c = 13, Volume = 1287.0, Density = 9
Parallelepiped: a = 14  b = 23  c = 4, Volume = 1288.0, Density = 21
Parallelepiped: a = 23  b = 4  c = 14, Volume = 1288.0, Density = 6
Parallelepiped: a = 23  b = 4  c = 14, Volume = 1288.0, Density = 21
Parallelepiped: a = 17  b = 4  c = 19, Volume = 1292.0, Density = 16
Parallelepiped: a = 17  b = 19  c = 4, Volume = 1292.0, Density = 23
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 2
Sphere: x = 12, Volume = 1296.0, Density = 10
Sphere: x = 12, Volume = 1296.0, Density = 7
Sphere: x = 12, Volume = 1296.0, Density = 13
Sphere: x = 12, Volume = 1296.0, Density = 20
Sphere: x = 12, Volume = 1296.0, Density = 18
Sphere: x = 12, Volume = 1296.0, Density = 12
Sphere: x = 12, Volume = 1296.0, Density = 1
Sphere: x = 12, Volume = 1296.0, Density = 16
Sphere: x = 12, Volume = 1296.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 6
Parallelepiped: a = 12  b = 9  c = 12, Volume = 1296.0, Density = 24
Sphere: x = 12, Volume = 1296.0, Density = 18
Sphere: x = 12, Volume = 1296.0, Density = 15
Parallelepiped: a = 9  b = 18  c = 8, Volume = 1296.0, Density = 15
Sphere: x = 12, Volume = 1296.0, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 9
Sphere: x = 12, Volume = 1296.0, Density = 12
Sphere: x = 12, Volume = 1296.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 22
Sphere: x = 12, Volume = 1296.0, Density = 16
Sphere: x = 12, Volume = 1296.0, Density = 7
Sphere: x = 12, Volume = 1296.0, Density = 11
Sphere: x = 12, Volume = 1296.0, Density = 17
Sphere: x = 12, Volume = 1296.0, Density = 23
Sphere: x = 12, Volume = 1296.0, Density = 18
Sphere: x = 12, Volume = 1296.0, Density = 10
Sphere: x = 12, Volume = 1296.0, Density = 15
Sphere: x = 12, Volume = 1296.0, Density = 18
Sphere: x = 12, Volume = 1296.0, Density = 6
Sphere: x = 12, Volume = 1296.0, Density = 15
Sphere: x = 12, Volume = 1296.0, Density = 14
Sphere: x = 12, Volume = 1296.0, Density = 9
Sphere: x = 12, Volume = 1296.0, Density = 7
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 16
Sphere: x = 12, Volume = 1296.0, Density = 12
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 21
Sphere: x = 12, Volume = 1296.0, Density = 1
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 6
Sphere: x = 12, Volume = 1296.0, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 20
Sphere: x = 12, Volume = 1296.0, Density = 22
Sphere: x = 12, Volume = 1296.0, Density = 23
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 11
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 20
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 17
Sphere: x = 12, Volume = 1296.0, Density = 0
Sphere: x = 12, Volume = 1296.0, Density = 12
Sphere: x = 12, Volume = 1296.0, Density = 13
Parallelepiped: a = 9  b = 18  c = 8, Volume = 1296.0, Density = 11
Sphere: x = 12, Volume = 1296.0, Density = 9
Sphere: x = 12, Volume = 1296.0, Density = 18
Sphere: x = 12, Volume = 1296.0, Density = 13
Sphere: x = 12, Volume = 1296.0, Density = 7
Sphere: x = 12, Volume = 1296.0, Density = 6
Sphere: x = 12, Volume = 1296.0, Density = 18
Sphere: x = 12, Volume = 1296.0, Density = 1
Sphere: x = 12, Volume = 1296.0, Density = 2
Sphere: x = 12, Volume = 1296.0, Density = 7
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 17
Sphere: x = 12, Volume = 1296.0, Density = 19
Sphere: x = 12, Volume = 1296.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 9
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 14
Sphere: x = 12, Volume = 1296.0, Density = 14
Sphere: x = 12, Volume = 1296.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 20
Sphere: x = 12, Volume = 1296.0, Density = 24
Sphere: x = 12, Volume = 1296.0, Density = 2
Sphere: x = 12, Volume = 1296.0, Density = 15
Sphere: x = 12, Volume = 1296.0, Density = 23
Sphere: x = 12, Volume = 1296.0, Density = 20
Sphere: x = 12, Volume = 1296.0, Density = 22
Parallelepiped: a = 12  b = 18  c = 6, Volume = 1296.0, Density = 7
Sphere: x = 12, Volume = 1296.0, Density = 15
Sphere: x = 12, Volume = 1296.0, Density = 7
Sphere: x = 12, Volume = 1296.0, Density = 17
Sphere: x = 12, Volume = 1296.0, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 6
Sphere: x = 12, Volume = 1296.0, Density = 14
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 23
Sphere: x = 12, Volume = 1296.0, Density = 2
Sphere: x = 12, Volume = 1296.0, Density = 1
Sphere: x = 12, Volume = 1296.0, Density = 17
Sphere: x = 12, Volume = 1296.0, Density = 24
Sphere: x = 12, Volume = 1296.0, Density = 0
Sphere: x = 12, Volume = 1296.0, Density = 18
Sphere: x = 12, Volume = 1296.0, Density = 12
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 17
Sphere: x = 12, Volume = 1296.0, Density = 24
Sphere: x = 12, Volume = 1296.0, Density = 23
Sphere: x = 12, Volume = 1296.0, Density = 14
Sphere: x = 12, Volume = 1296.0, Density = 1
Sphere: x = 12, Volume = 1296.0, Density = 20
Sphere: x = 12, Volume = 1296.0, Density = 14
Parallelepiped: a = 24  b = 3  c = 18, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 21
Sphere: x = 12, Volume = 1296.0, Density = 14
Sphere: x = 12, Volume = 1296.0, Density = 13
Sphere: x = 12, Volume = 1296.0, Density = 21
Sphere: x = 12, Volume = 1296.0, Density = 2
Sphere: x = 12, Volume = 1296.0, Density = 1
Sphere: x = 12, Volume = 1296.0, Density = 23
Sphere: x = 12, Volume = 1296.0, Density = 24
Sphere: x = 12, Volume = 1296.0, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 15
Sphere: x = 12, Volume = 1296.0, Density = 1
Sphere: x = 12, Volume = 1296.0, Density = 0
Sphere: x = 12, Volume = 1296.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 1
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 3
Sphere: x = 12, Volume = 1296.0, Density = 21
Sphere: x = 12, Volume = 1296.0, Density = 11
Sphere: x = 12, Volume = 1296.0, Density = 11
Sphere: x = 12, Volume = 1296.0, Density = 12
Sphere: x = 12, Volume = 1296.0, Density = 12
Sphere: x = 12, Volume = 1296.0, Density = 21
Sphere: x = 12, Volume = 1296.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 4
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 8
Sphere: x = 12, Volume = 1296.0, Density = 6
Sphere: x = 12, Volume = 1296.0, Density = 13
Sphere: x = 12, Volume = 1296.0, Density = 18
Parallelepiped: a = 20  b = 13  c = 5, Volume = 1300.0, Density = 18
Parallelepiped: a = 7  b = 17  c = 11, Volume = 1309.0, Density = 23
Parallelepiped: a = 23  b = 3  c = 19, Volume = 1311.0, Density = 9
Parallelepiped: a = 19  b = 23  c = 3, Volume = 1311.0, Density = 5
Parallelepiped: a = 8  b = 15  c = 11, Volume = 1320.0, Density = 7
Parallelepiped: a = 11  b = 12  c = 10, Volume = 1320.0, Density = 1
Parallelepiped: a = 12  b = 22  c = 5, Volume = 1320.0, Density = 21
Parallelepiped: a = 8  b = 11  c = 15, Volume = 1320.0, Density = 16
Parallelepiped: a = 15  b = 8  c = 11, Volume = 1320.0, Density = 6
Parallelepiped: a = 22  b = 3  c = 20, Volume = 1320.0, Density = 21
Parallelepiped: a = 6  b = 11  c = 20, Volume = 1320.0, Density = 2
Parallelepiped: a = 22  b = 15  c = 4, Volume = 1320.0, Density = 19
Parallelepiped: a = 5  b = 24  c = 11, Volume = 1320.0, Density = 3
Parallelepiped: a = 8  b = 15  c = 11, Volume = 1320.0, Density = 20
Parallelepiped: a = 6  b = 10  c = 22, Volume = 1320.0, Density = 7
Parallelepiped: a = 24  b = 5  c = 11, Volume = 1320.0, Density = 15
Parallelepiped: a = 11  b = 8  c = 15, Volume = 1320.0, Density = 3
Parallelepiped: a = 9  b = 21  c = 7, Volume = 1323.0, Density = 24
Parallelepiped: a = 3  b = 21  c = 21, Volume = 1323.0, Density = 14
Parallelepiped: a = 9  b = 21  c = 7, Volume = 1323.0, Density = 21
Parallelepiped: a = 13  b = 17  c = 6, Volume = 1326.0, Density = 1
Parallelepiped: a = 6  b = 17  c = 13, Volume = 1326.0, Density = 1
Parallelepiped: a = 14  b = 5  c = 19, Volume = 1330.0, Density = 14
Parallelepiped: a = 12  b = 16  c = 7, Volume = 1344.0, Density = 8
Parallelepiped: a = 4  b = 21  c = 16, Volume = 1344.0, Density = 15
Parallelepiped: a = 8  b = 24  c = 7, Volume = 1344.0, Density = 10
Parallelepiped: a = 24  b = 8  c = 7, Volume = 1344.0, Density = 8
Parallelepiped: a = 14  b = 6  c = 16, Volume = 1344.0, Density = 22
Parallelepiped: a = 16  b = 4  c = 21, Volume = 1344.0, Density = 5
Parallelepiped: a = 14  b = 12  c = 8, Volume = 1344.0, Density = 2
Parallelepiped: a = 8  b = 8  c = 21, Volume = 1344.0, Density = 14
Parallelepiped: a = 16  b = 14  c = 6, Volume = 1344.0, Density = 6
Parallelepiped: a = 15  b = 9  c = 10, Volume = 1350.0, Density = 15
Parallelepiped: a = 9  b = 10  c = 15, Volume = 1350.0, Density = 1
Parallelepiped: a = 15  b = 9  c = 10, Volume = 1350.0, Density = 3
Parallelepiped: a = 5  b = 16  c = 17, Volume = 1360.0, Density = 9
Parallelepiped: a = 4  b = 17  c = 20, Volume = 1360.0, Density = 24
Parallelepiped: a = 17  b = 4  c = 20, Volume = 1360.0, Density = 15
Parallelepiped: a = 20  b = 4  c = 17, Volume = 1360.0, Density = 8
Parallelepiped: a = 17  b = 4  c = 20, Volume = 1360.0, Density = 6
Parallelepiped: a = 24  b = 3  c = 19, Volume = 1368.0, Density = 19
Parallelepiped: a = 3  b = 24  c = 19, Volume = 1368.0, Density = 8
Parallelepiped: a = 19  b = 12  c = 6, Volume = 1368.0, Density = 3
Parallelepiped: a = 19  b = 9  c = 8, Volume = 1368.0, Density = 12
Parallelepiped: a = 19  b = 3  c = 24, Volume = 1368.0, Density = 13
Parallelepiped: a = 3  b = 24  c = 19, Volume = 1368.0, Density = 4
Parallelepiped: a = 7  b = 14  c = 14, Volume = 1372.0, Density = 4
Parallelepiped: a = 9  b = 17  c = 9, Volume = 1377.0, Density = 21
Parallelepiped: a = 6  b = 23  c = 10, Volume = 1380.0, Density = 12
Parallelepiped: a = 20  b = 23  c = 3, Volume = 1380.0, Density = 23
Parallelepiped: a = 12  b = 5  c = 23, Volume = 1380.0, Density = 3
Parallelepiped: a = 21  b = 11  c = 6, Volume = 1386.0, Density = 6
Parallelepiped: a = 11  b = 18  c = 7, Volume = 1386.0, Density = 5
Parallelepiped: a = 11  b = 18  c = 7, Volume = 1386.0, Density = 13
Parallelepiped: a = 7  b = 9  c = 22, Volume = 1386.0, Density = 8
Parallelepiped: a = 7  b = 11  c = 18, Volume = 1386.0, Density = 21
Parallelepiped: a = 14  b = 11  c = 9, Volume = 1386.0, Density = 1
Parallelepiped: a = 14  b = 11  c = 9, Volume = 1386.0, Density = 19
Parallelepiped: a = 9  b = 14  c = 11, Volume = 1386.0, Density = 18
Parallelepiped: a = 22  b = 7  c = 9, Volume = 1386.0, Density = 22
Parallelepiped: a = 9  b = 11  c = 14, Volume = 1386.0, Density = 12
Parallelepiped: a = 7  b = 20  c = 10, Volume = 1400.0, Density = 10
Parallelepiped: a = 7  b = 20  c = 10, Volume = 1400.0, Density = 8
Parallelepiped: a = 18  b = 13  c = 6, Volume = 1404.0, Density = 13
Parallelepiped: a = 13  b = 6  c = 18, Volume = 1404.0, Density = 12
Parallelepiped: a = 9  b = 12  c = 13, Volume = 1404.0, Density = 22
Parallelepiped: a = 18  b = 13  c = 6, Volume = 1404.0, Density = 20
Parallelepiped: a = 13  b = 6  c = 18, Volume = 1404.0, Density = 18
Parallelepiped: a = 16  b = 22  c = 4, Volume = 1408.0, Density = 18
Parallelepiped: a = 4  b = 22  c = 16, Volume = 1408.0, Density = 6
Parallelepiped: a = 4  b = 16  c = 22, Volume = 1408.0, Density = 11
Parallelepiped: a = 11  b = 16  c = 8, Volume = 1408.0, Density = 20
Parallelepiped: a = 8  b = 8  c = 22, Volume = 1408.0, Density = 17
Parallelepiped: a = 15  b = 5  c = 19, Volume = 1425.0, Density = 20
Parallelepiped: a = 4  b = 17  c = 21, Volume = 1428.0, Density = 5
Parallelepiped: a = 17  b = 4  c = 21, Volume = 1428.0, Density = 12
Parallelepiped: a = 12  b = 7  c = 17, Volume = 1428.0, Density = 1
Parallelepiped: a = 12  b = 7  c = 17, Volume = 1428.0, Density = 12
Parallelepiped: a = 17  b = 12  c = 7, Volume = 1428.0, Density = 20
Parallelepiped: a = 13  b = 10  c = 11, Volume = 1430.0, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 6
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 2
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 17
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 17
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 2
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 4
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 9
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 5
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 19
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 19
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 7
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 4
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 11
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 7
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 20
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 22
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 17
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 9
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 7
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 11
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 21
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 20
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 3
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 9
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 10
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 10
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 2
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 9
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 16
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 15
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 20
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 20
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 18
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 21
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 4
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 7
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 4
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 19
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 19
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 11
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 5
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 5
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 4
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 9
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 14
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 7
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 18
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 16
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 10
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 6
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 3
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 16
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 6
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 5
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 20
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 23
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 24
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 23
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 15
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 6
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 10
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 3
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 15
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 9
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 18
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 24
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 14
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 17
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 3
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 11
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 5
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 14
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 23
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 16
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 5
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 11
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 19
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 23
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 14
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 2
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 4
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 21
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 24
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 24
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 7
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 14
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 15
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 22
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 16
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 15
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 21
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 23
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 10
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 4
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 17
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 1
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 24
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 23
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 22
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 9
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 16
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 2
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 19
Parallelepiped: a = 24  b = 6  c = 10, Volume = 1440.0, Density = 2
Parallelepiped: a = 6  b = 24  c = 10, Volume = 1440.0, Density = 16
Parallelepiped: a = 20  b = 9  c = 8, Volume = 1440.0, Density = 12
Parallelepiped: a = 9  b = 10  c = 16, Volume = 1440.0, Density = 20
Parallelepiped: a = 9  b = 10  c = 16, Volume = 1440.0, Density = 5
Parallelepiped: a = 15  b = 16  c = 6, Volume = 1440.0, Density = 11
Parallelepiped: a = 9  b = 10  c = 16, Volume = 1440.0, Density = 0
Parallelepiped: a = 4  b = 24  c = 15, Volume = 1440.0, Density = 1
Parallelepiped: a = 10  b = 16  c = 9, Volume = 1440.0, Density = 23
Parallelepiped: a = 12  b = 24  c = 5, Volume = 1440.0, Density = 21
Parallelepiped: a = 12  b = 10  c = 12, Volume = 1440.0, Density = 2
Parallelepiped: a = 10  b = 16  c = 9, Volume = 1440.0, Density = 11
Parallelepiped: a = 16  b = 10  c = 9, Volume = 1440.0, Density = 14
Parallelepiped: a = 9  b = 20  c = 8, Volume = 1440.0, Density = 16
Parallelepiped: a = 4  b = 20  c = 18, Volume = 1440.0, Density = 15
Parallelepiped: a = 9  b = 10  c = 16, Volume = 1440.0, Density = 6
Parallelepiped: a = 16  b = 15  c = 6, Volume = 1440.0, Density = 9
Parallelepiped: a = 15  b = 12  c = 8, Volume = 1440.0, Density = 8
Parallelepiped: a = 6  b = 24  c = 10, Volume = 1440.0, Density = 3
Parallelepiped: a = 15  b = 24  c = 4, Volume = 1440.0, Density = 19
Parallelepiped: a = 16  b = 9  c = 10, Volume = 1440.0, Density = 5
Parallelepiped: a = 10  b = 8  c = 18, Volume = 1440.0, Density = 16
Parallelepiped: a = 4  b = 15  c = 24, Volume = 1440.0, Density = 19
Parallelepiped: a = 19  b = 4  c = 19, Volume = 1444.0, Density = 11
Parallelepiped: a = 23  b = 7  c = 9, Volume = 1449.0, Density = 5
Parallelepiped: a = 3  b = 23  c = 21, Volume = 1449.0, Density = 5
Parallelepiped: a = 7  b = 23  c = 9, Volume = 1449.0, Density = 18
Parallelepiped: a = 9  b = 9  c = 18, Volume = 1458.0, Density = 14
Parallelepiped: a = 18  b = 9  c = 9, Volume = 1458.0, Density = 16
Parallelepiped: a = 21  b = 10  c = 7, Volume = 1470.0, Density = 18
Parallelepiped: a = 21  b = 10  c = 7, Volume = 1470.0, Density = 9
Parallelepiped: a = 10  b = 21  c = 7, Volume = 1470.0, Density = 16
Parallelepiped: a = 14  b = 15  c = 7, Volume = 1470.0, Density = 5
Parallelepiped: a = 5  b = 21  c = 14, Volume = 1470.0, Density = 11
Parallelepiped: a = 14  b = 5  c = 21, Volume = 1470.0, Density = 11
Parallelepiped: a = 23  b = 8  c = 8, Volume = 1472.0, Density = 22
Parallelepiped: a = 6  b = 13  c = 19, Volume = 1482.0, Density = 10
Parallelepiped: a = 6  b = 13  c = 19, Volume = 1482.0, Density = 10
Parallelepiped: a = 11  b = 15  c = 9, Volume = 1485.0, Density = 2
Parallelepiped: a = 5  b = 13  c = 23, Volume = 1495.0, Density = 11
